index,pred_min,predicted,actual,bet_placed,is_win,payout,profit_loss,balance
2,2.6163194835186014,4.713346481323242,4.029999732971191,True,True,261.63194835186016,161.63194835186016,50161.63194835186
3,24.84123975634575,26.93826675415039,33.150001525878906,True,True,2484.123975634575,2384.123975634575,52545.755923986435
4,3.696779555082322,5.793806552886963,7.189999580383301,True,True,369.67795550823223,269.67795550823223,52815.43387949467
9,6.07865602374077,8.17568302154541,7.470000267028809,True,True,607.865602374077,507.86560237407696,53323.299481868744
10,3.1119116008281718,5.2089385986328125,4.909999847412109,True,True,311.1911600828172,211.1911600828172,53534.49064195156
14,5.046147650480272,7.143174648284912,5.769999980926514,True,True,504.61476504802715,404.61476504802715,53939.10540699959
15,18.042209452390672,20.139236450195312,23.46000099182129,True,True,1804.2209452390673,1704.2209452390673,55643.326352238655
20,6.053741282224657,8.150768280029297,10.480000495910645,True,True,605.3741282224656,505.37412822246563,56148.70048046112
22,6.991454905271532,9.088481903076172,9.119999885559082,True,True,699.1454905271531,599.1454905271531,56747.84597098827
25,6.374531573057176,8.471558570861816,10.65000057220459,True,True,637.4531573057176,537.4531573057176,57285.29912829399
26,27.055963343381883,29.152990341186523,30.690000534057617,True,True,2705.596334338188,2605.596334338188,59890.89546263218
34,6.298615282773973,8.395642280578613,7.139999866485596,True,True,629.8615282773973,529.8615282773973,60420.75699090958
45,2.33829671740532,4.435323715209961,4.609999656677246,True,True,233.829671740532,133.829671740532,60554.58666265011
52,5.144492930173875,7.241519927978516,6.489999771118164,True,True,514.4492930173875,414.4492930173875,60969.035955667496
55,4.143790549039842,6.240817546844482,4.860000133514404,True,True,414.3790549039842,314.3790549039842,61283.41501057148
71,6.9106252849102034,9.007652282714844,91.6760025024414,True,True,691.0625284910203,591.0625284910203,61874.4775390625
84,3.5850837886333475,5.682110786437988,5.159999847412109,True,True,358.50837886333477,258.50837886333477,62132.985917925835
86,5.610915011167528,7.707942008972168,5.089999675750732,True,False,0.0,-100.0,62032.985917925835
91,11.248818224668504,13.345845222473145,64.29000091552734,True,True,1124.8818224668505,1024.8818224668505,63057.867740392685
97,8.01392156481743,10.11094856262207,20.719999313354492,True,True,801.392156481743,701.392156481743,63759.25989687443
99,7.98124391436577,10.07827091217041,14.190000534057617,True,True,798.124391436577,698.124391436577,64457.384288311005
103,3.8142188251018534,5.911245822906494,4.599999904632568,True,True,381.42188251018536,281.42188251018536,64738.80617082119
110,33.1778600871563,35.27488708496094,56.12000274658203,True,True,3317.7860087156296,3217.7860087156296,67956.59217953682
111,13.078558748960496,15.175585746765137,74.43000030517578,True,True,1307.8558748960497,1207.8558748960497,69164.44805443287
122,5.583548372983934,7.680575370788574,5.96999979019165,True,True,558.3548372983934,458.35483729839336,69622.80289173126
124,12.417993372678758,14.515020370483398,19.020000457763672,True,True,1241.799337267876,1141.799337267876,70764.60222899914
134,4.871864622831346,6.968891620635986,5.940000057220459,True,True,487.1864622831346,387.1864622831346,71151.78869128227
138,12.089163607358934,14.186190605163574,20.389999389648438,True,True,1208.9163607358935,1108.9163607358935,72260.70505201817
140,4.029947108030321,6.126974105834961,10.550000190734863,True,True,402.99471080303204,302.99471080303204,72563.6997628212
142,2.8256910502910624,4.922718048095703,4.769999980926514,True,True,282.56910502910625,182.56910502910625,72746.2688678503
153,7.667565172910692,9.764592170715332,9.980000495910645,True,True,766.7565172910691,666.7565172910691,73413.02538514137
157,10.408708399534227,12.505735397338867,10.369999885559082,True,False,0.0,-100.0,73313.02538514137
159,3.5438612163066874,5.640888214111328,6.739999771118164,True,True,354.38612163066875,254.38612163066875,73567.41150677204
178,4.360732859373094,6.457759857177734,8.260000228881836,True,True,436.0732859373094,336.0732859373094,73903.48479270935
179,21.231000727415086,23.328027725219727,24.490001678466797,True,True,2123.1000727415085,2023.1000727415085,75926.58486545086
186,2.4855993449687968,4.5826263427734375,3.0,True,True,248.55993449687966,148.55993449687966,76075.14479994774
187,8.94208032488823,11.039107322692871,12.920001029968262,True,True,894.208032488823,794.208032488823,76869.35283243656
190,10.731677836179735,12.828704833984375,10.880000114440918,True,True,1073.1677836179736,973.1677836179736,77842.52061605453
191,8.10495931506157,10.201986312866211,10.420000076293945,True,True,810.495931506157,710.495931506157,78553.01654756069
194,5.645170038938524,7.742197036743164,8.229999542236328,True,True,564.5170038938523,464.51700389385235,79017.53355145454
198,5.875917738676073,7.972944736480713,5.159999847412109,True,False,0.0,-100.0,78917.53355145454
199,4.809445208311082,6.906472206115723,7.089999675750732,True,True,480.9445208311082,380.9445208311082,79298.47807228565
202,17.759576624631883,19.856603622436523,14.449999809265137,True,False,0.0,-100.0,79198.47807228565
206,8.009189432859422,10.106216430664062,7.579999923706055,True,False,0.0,-100.0,79098.47807228565
210,3.5961874186992655,5.693214416503906,5.659999847412109,True,True,359.61874186992657,259.61874186992657,79358.09681415558
215,5.730572050809862,7.827599048614502,7.480000019073486,True,True,573.0572050809861,473.05720508098614,79831.15401923656
226,5.054295367002489,7.151322364807129,6.909999847412109,True,True,505.42953670024883,405.42953670024883,80236.58355593681
238,20.428857630491258,22.5258846282959,23.170000076293945,True,True,2042.885763049126,1942.885763049126,82179.46931898594
247,8.107858484983446,10.204885482788086,8.989999771118164,True,True,810.7858484983445,710.7858484983445,82890.25516748428
253,14.358486002683641,16.45551300048828,17.130001068115234,True,True,1435.8486002683642,1335.8486002683642,84226.10376775265
256,4.53440029025078,6.63142728805542,11.180000305175781,True,True,453.44002902507793,353.44002902507793,84579.54379677773
266,5.230318850278856,7.327345848083496,5.28000020980835,True,True,523.0318850278856,423.03188502788555,85002.57568180561
282,15.669769114255907,17.766796112060547,17.139999389648438,True,True,1566.9769114255907,1466.9769114255907,86469.5525932312
289,13.783675974607469,15.88070297241211,13.420001029968262,True,False,0.0,-100.0,86369.5525932312
293,8.249635523557664,10.346662521362305,6.839999675750732,True,False,0.0,-100.0,86269.5525932312
305,53.479148691892625,55.576175689697266,28.280000686645508,True,False,0.0,-100.0,86169.5525932312
307,15.207719630002977,17.304746627807617,9.770000457763672,True,False,0.0,-100.0,86069.5525932312
308,7.193147486448289,9.29017448425293,18.78999900817871,True,True,719.3147486448289,619.3147486448289,86688.86734187603
317,82.84379178881645,84.9408187866211,91.6760025024414,True,True,8284.379178881645,8184.379178881645,94873.24652075768
324,3.6713894069194803,5.768416404724121,3.700000047683716,True,True,367.13894069194805,267.13894069194805,95140.38546144962
325,51.04859144091606,53.1456184387207,64.36000061035156,True,True,5104.859144091606,5004.859144091606,100145.24460554123
328,28.044694727659227,30.141721725463867,43.16999816894531,True,True,2804.4694727659225,2704.4694727659225,102849.71407830715
332,23.25058919787407,25.34761619567871,26.020002365112305,True,True,2325.058919787407,2225.058919787407,105074.77299809456
337,4.327019995450975,6.424046993255615,7.009999752044678,True,True,432.70199954509746,332.70199954509746,105407.47499763966
345,43.8626516520977,45.959678649902344,57.529998779296875,True,True,4386.26516520977,4286.26516520977,109693.74016284943
348,4.891547507047655,6.988574504852295,7.369999408721924,True,True,489.15475070476543,389.15475070476543,110082.89491355419
362,20.36873990893364,22.46576690673828,37.67000198364258,True,True,2036.8739908933642,1936.8739908933642,112019.76890444756
366,75.29432279467582,77.39134979248047,72.2699966430664,True,False,0.0,-100.0,111919.76890444756
370,16.403484171628953,18.500511169433594,22.850000381469727,True,True,1640.3484171628954,1540.3484171628954,113460.11732161045
372,4.861485308408739,6.958512306213379,6.809999942779541,True,True,486.14853084087383,386.14853084087383,113846.26585245132
375,4.567955797910692,6.664982795715332,5.5,True,True,456.79557979106914,356.79557979106914,114203.0614322424
381,4.077670878171922,6.1746978759765625,7.259999752044678,True,True,407.7670878171922,307.7670878171922,114510.82852005959
382,37.319270914793016,39.416297912597656,57.78999710083008,True,True,3731.9270914793015,3631.9270914793015,118142.75561153889
389,8.711535280942918,10.808562278747559,7.470000267028809,True,False,0.0,-100.0,118042.75561153889
395,17.116977518796922,19.214004516601562,25.15999984741211,True,True,1711.6977518796923,1611.6977518796923,119654.45336341858
401,19.561343973875047,21.658370971679688,23.78999900817871,True,True,1956.1343973875048,1856.1343973875048,121510.58776080608
402,11.340307062864305,13.437334060668945,13.540000915527344,True,True,1134.0307062864306,1034.0307062864306,122544.61846709251
410,3.5704396426677714,5.667466640472412,8.739999771118164,True,True,357.04396426677715,257.04396426677715,122801.66243135929
414,2.243769472837449,4.34079647064209,1.6799999475479126,True,False,0.0,-100.0,122701.66243135929
415,65.23520261645317,67.33222961425781,52.04999923706055,True,False,0.0,-100.0,122601.66243135929
422,18.114213770627977,20.211240768432617,26.190000534057617,True,True,1811.4213770627978,1711.4213770627978,124313.08380842209
425,2.343460386991502,4.440487384796143,6.929999828338623,True,True,234.34603869915017,134.34603869915017,124447.42984712124
429,6.008503741025926,8.105530738830566,7.739999771118164,True,True,600.8503741025926,500.8503741025926,124948.28022122383
430,6.250848597288133,8.347875595092773,9.389999389648438,True,True,625.0848597288133,525.0848597288133,125473.36508095264
440,8.50812036395073,10.605147361755371,9.020000457763672,True,True,850.812036395073,750.812036395073,126224.17711734772
442,7.007964915037157,9.104991912841797,7.839999675750732,True,True,700.7964915037156,600.7964915037156,126824.97360885143
443,85.71269590258598,87.80972290039062,91.6760025024414,True,True,8571.269590258598,8471.269590258598,135296.24319911003
446,83.75868589282035,85.855712890625,91.6760025024414,True,True,8375.868589282036,8275.868589282036,143572.11178839207
450,12.534507578611375,14.631534576416016,24.8700008392334,True,True,1253.4507578611376,1153.4507578611376,144725.5625462532
454,27.698921030759813,29.795948028564453,45.599998474121094,True,True,2769.892103075981,2669.892103075981,147395.4546493292
458,5.4787452876567855,7.575772285461426,8.819999694824219,True,True,547.8745287656785,447.8745287656785,147843.32917809486
463,20.320085352659227,22.417112350463867,31.10999870300293,True,True,2032.0085352659228,1932.0085352659228,149775.3377133608
465,3.0075600802898417,5.104587078094482,11.380000114440918,True,True,300.7560080289842,200.75600802898418,149976.09372138977
469,32.70157987475395,34.798606872558594,32.11000061035156,True,False,0.0,-100.0,149876.09372138977
472,14.601835078001024,16.698862075805664,21.220001220703125,True,True,1460.1835078001025,1360.1835078001025,151236.27722918987
474,2.6351798236370096,4.73220682144165,7.2699995040893555,True,True,263.517982363701,163.51798236370098,151399.79521155357
476,2.0127480685710917,4.109775066375732,3.2300000190734863,True,True,201.27480685710916,101.27480685710916,151501.07001841068
477,2.2787979304790507,4.375824928283691,2.6600000858306885,True,True,227.87979304790505,127.87979304790505,151628.9498114586
478,4.315412348508836,6.412439346313477,3.930000066757202,True,False,0.0,-100.0,151528.9498114586
482,15.183845347166063,17.280872344970703,15.660000801086426,True,True,1518.3845347166064,1418.3845347166064,152947.3343461752
496,86.15755826830863,88.25458526611328,69.87999725341797,True,False,0.0,-100.0,152847.3343461752
508,6.8541162669658675,8.951143264770508,11.540000915527344,True,True,685.4116266965867,585.4116266965867,153432.74597287178
514,6.857354944944383,8.954381942749023,7.2099995613098145,True,True,685.7354944944383,585.7354944944383,154018.48146736622
516,19.948541468381883,22.045568466186523,28.440000534057617,True,True,1994.8541468381884,1894.8541468381884,155913.3356142044
521,2.9035108745098124,5.000537872314453,5.829999923706055,True,True,290.35108745098125,190.35108745098125,156103.6867016554
524,4.536251372098924,6.6332783699035645,7.899999618530273,True,True,453.6251372098924,353.6251372098924,156457.31183886528
546,4.052933043241502,6.149960041046143,5.569999694824219,True,True,405.2933043241502,305.2933043241502,156762.60514318943
548,3.597665613889695,5.694692611694336,6.779999732971191,True,True,359.76656138896954,259.76656138896954,157022.3717045784
565,5.941062754392625,8.038089752197266,9.920000076293945,True,True,594.1062754392625,494.1062754392625,157516.47798001766
571,36.37393934130669,38.47096633911133,41.55999755859375,True,True,3637.3939341306686,3537.3939341306686,161053.87191414833
576,10.689473932981493,12.786500930786133,10.550000190734863,True,False,0.0,-100.0,160953.87191414833
578,14.442254847288133,16.539281845092773,14.90999984741211,True,True,1444.2254847288134,1344.2254847288134,162298.09739887714
583,5.459137266874315,7.556164264678955,7.450000286102295,True,True,545.9137266874314,445.91372668743145,162744.01112556458
592,4.124873942136766,6.221900939941406,7.399999618530273,True,True,412.48739421367657,312.48739421367657,163056.49851977825
595,7.348715609312059,9.4457426071167,8.880000114440918,True,True,734.8715609312059,634.8715609312059,163691.37008070946
597,26.405507868528368,28.502534866333008,38.52000045776367,True,True,2640.5507868528366,2540.5507868528366,166231.9208675623
603,52.35302717089653,54.45005416870117,43.0099983215332,True,False,0.0,-100.0,166131.9208675623
604,85.30487424731254,87.40190124511719,91.6760025024414,True,True,8530.487424731255,8430.487424731255,174562.40829229355
612,12.140966242551805,14.237993240356445,19.80000114440918,True,True,1214.0966242551806,1114.0966242551806,175676.50491654873
616,10.781375712156297,12.878402709960938,18.309999465942383,True,True,1078.1375712156298,978.1375712156298,176654.64248776436
621,5.770246332883836,7.867273330688477,8.510000228881836,True,True,577.0246332883836,477.0246332883836,177131.66712105274
627,33.33591062426567,35.43293762207031,41.970001220703125,True,True,3333.591062426567,3233.591062426567,180365.2581834793
631,45.43441755175591,47.53144454956055,26.989999771118164,True,False,0.0,-100.0,180265.2581834793
654,8.668562716245653,10.765589714050293,10.289999961853027,True,True,866.8562716245652,766.8562716245652,181032.11445510387
656,34.5202673137188,36.61729431152344,36.959999084472656,True,True,3452.0267313718796,3352.0267313718796,184384.14118647575
667,9.882489985227586,11.979516983032227,10.980000495910645,True,True,988.2489985227586,888.2489985227586,185272.3901849985
674,6.200435465574266,8.297462463378906,6.269999980926514,True,True,620.0435465574266,520.0435465574266,185792.43373155594
682,83.64908964037895,85.7461166381836,91.6760025024414,True,True,8364.908964037895,8264.908964037895,194057.34269559383
688,85.39525205492973,87.49227905273438,91.6760025024414,True,True,8539.525205492973,8439.525205492973,202496.8679010868
707,6.724031275510789,8.82105827331543,9.210000038146973,True,True,672.4031275510789,572.4031275510789,203069.2710286379
711,3.3420165240764628,5.4390435218811035,4.380000114440918,True,True,334.2016524076463,234.2016524076463,203303.47268104553
713,6.539462870359422,8.636489868164062,10.440000534057617,True,True,653.9462870359422,553.9462870359422,203857.41896808147
717,2.7178281009197245,4.814855098724365,4.130000114440918,True,True,271.78281009197246,171.78281009197246,204029.20177817345
729,7.646961039304735,9.743988037109375,9.950000762939453,True,True,764.6961039304734,664.6961039304734,204693.89788210392
732,3.424761599302293,5.521788597106934,8.670000076293945,True,True,342.4761599302293,242.4761599302293,204936.37404203415
743,3.748969382047654,5.845996379852295,5.880000114440918,True,True,374.89693820476543,274.89693820476543,205211.2709802389
744,2.392572706937791,4.489599704742432,6.149999618530273,True,True,239.25727069377908,139.25727069377908,205350.5282509327
749,4.266709631681444,6.363736629486084,7.259999752044678,True,True,426.67096316814434,326.67096316814434,205677.19921410084
753,6.67295534014702,8.76998233795166,11.020000457763672,True,True,667.295534014702,567.295534014702,206244.49474811554
754,3.041578596830369,5.13860559463501,7.570000171661377,True,True,304.1578596830369,204.15785968303692,206448.65260779858
774,2.629982775449754,4.7270097732543945,6.329999923706055,True,True,262.9982775449754,162.9982775449754,206611.65088534355
